	Dim1	Dim2	new_membership	class
1001000179.D5	-6.1789308	-56.126743	Microglia	3
1001000179.D8	2.504398	-52.557484	Microglia	3
1001000179.B11	-6.608925	-22.858425	Microglia	3
1001000179.B9	3.3058853	-31.320866	Microglia	3
1001000179.D12	-2.5193775	-36.223812	Microglia	3
1001000179.F11	2.4929605	-49.256065	Microglia	3
1001000179.E11	5.9251566	-56.416454	Microglia	3
1001000179.A8	3.8847826	-48.74864	Microglia	3
1001000179.G10	5.845426	-48.597755	Microglia	3
1001000179.E4	13.497521	-51.75341	Microglia	3
1001000179.C11	8.592662	-53.15554	Microglia	3
1001000179.H2	5.5542264	-59.18514	Microglia	3
1001000179.F3	-0.9400534	-58.523	Microglia	3
1001000179.F7	-0.0026231678	-60.189957	Microglia	3
1001000179.G12	11.405117	-34.474247	Microglia	3
1001000179.D2	-4.4433875	-43.64299	Microglia	3
1001000179.E8	2.4454844	-49.269955	Microglia	3
1001000179.A6	5.393334	-57.204823	Microglia	3
1001000179.C2	6.1993937	-53.141033	Microglia	3
1001000179.A11	-5.203518	-53.09917	Microglia	3
1001000179.F12	-10.045878	-54.14014	Microglia	3
1001000179.B6	-4.065727	-59.065254	Microglia	3
1001000179.H8	-6.77963	-60.534233	Microglia	3
1001000179.E10	-0.47862983	-38.02289	Microglia	3
1001000180.E8	-10.557498	47.453854	OPC	5
1001000180.B4	-5.080913	63.954235	OPC	5
1001000180.B9	-13.440384	54.07675	OPC	5
1001000180.G10	-2.5100214	55.36138	OPC	5
1001000180.E11	34.035923	-71.15635	Oligodendrocyte	6
1001000180.F5	29.001368	-71.000755	Oligodendrocyte	6
1001000180.A11	46.95234	-6.2229805	9	8
1001000180.G9	34.45987	-38.58011	Astrocyte	1
1001000180.C7	6.61419	60.200054	OPC	5
1001000180.G12	34.7723	-32.62143	Astrocyte	1
1001000180.H1	-4.6370397	55.501156	OPC	5
1001000180.E10	42.251415	0.00042825902	9	8
1001000180.A5	43.281868	-6.4740787	9	8
1001000180.D2	53.26276	-5.5533385	9	8
1001000180.F2	-7.2238417	49.98142	OPC	5
1001000180.F1	-7.217042	51.731377	OPC	5
1001000180.H7	-5.2667313	59.80226	OPC	5
1001000180.B7	-10.513393	50.762066	OPC	5
1001000180.A8	28.29688	-73.82934	Oligodendrocyte	6
1001000180.D8	39.9281	-0.268648	8	9
1001000180.E4	35.984653	-37.768337	Astrocyte	1
1001000180.A10	30.63231	-70.16406	Oligodendrocyte	6
1001000180.H9	39.67446	-36.06655	Astrocyte	1
1001000180.H4	-4.7992816	52.33929	OPC	5
1001000180.B2	-11.337264	49.792755	OPC	5
1001000180.G11	3.036072	69.6708	OPC	5
1001000180.H11	36.96379	-32.162136	Astrocyte	1
1001000180.E2	-6.6226587	59.94933	OPC	5
1001000180.C12	32.479095	-66.31831	Oligodendrocyte	6
1001000180.C3	-6.0316606	51.661846	OPC	5
1001000180.E1	40.608696	-1.0452056	9	8
1001000180.F7	-10.311433	56.748238	OPC	5
1001000180.F4	40.886604	-1.1245928	9	8
1001000180.E12	-9.015325	66.48118	OPC	5
1001000180.A12	-13.100959	49.35255	OPC	5
1001000180.H3	45.401115	-6.2992315	9	8
1001000180.B1	36.28496	-32.63098	Astrocyte	1
1001000180.D11	52.12074	-4.466996	9	8
1001000180.D1	-8.834289	59.53175	OPC	5
1001000180.B3	50.262005	-7.0814614	9	8
1001000180.H5	-11.623363	48.772507	OPC	5
1001000180.H10	-12.921577	48.22851	OPC	5
1001000180.G2	-6.5765224	44.676533	OPC	5
1001000180.C5	-2.120485	58.70508	OPC	5
1001000180.C8	29.16887	-72.60808	Oligodendrocyte	6
1001000180.D3	-5.7147393	50.655922	OPC	5
1001000180.A4	40.95279	-0.46579343	9	8
1001000180.G4	35.08499	-30.841845	Astrocyte	1
1001000180.F12	40.143776	-0.17789161	8	9
1001000180.E6	49.1508	-7.245936	9	8
1001000180.E5	-6.911937	52.573624	OPC	5
1001000180.F10	34.838676	-33.05179	Astrocyte	1
1001000180.G1	46.50241	-5.2621045	9	8
1001000180.A2	-13.398712	51.669285	OPC	5
1001000180.A9	46.537735	-6.147738	9	8
1001000180.F9	-9.539611	59.611557	OPC	5
1001000180.H6	32.583397	-34.41773	Astrocyte	1
1001000181.A3	45.22944	-5.697886	9	8
1001000181.E6	49.82595	-6.149512	9	8
1001000181.B1	-7.3342705	53.80024	OPC	5
1001000181.D8	35.287582	-35.410477	Astrocyte	1
1001000181.C12	-3.4443212	56.950905	OPC	5
1001000181.C5	-5.5827312	62.44754	OPC	5
1001000181.A5	-1.9035126	65.268875	OPC	5
1001000181.D12	-7.7134547	62.012238	OPC	5
1001000181.D5	46.642517	-6.8422527	9	8
1001000181.C3	-5.724995	56.845467	OPC	5
1001000181.F7	-11.674745	61.37924	OPC	5
1001000181.E1	35.859093	-31.176348	Astrocyte	1
1001000181.G3	-2.0920753	58.31555	OPC	5
1001000181.B5	-5.3214912	58.798294	OPC	5
1001000181.D10	46.030094	-6.1162114	9	8
1001000181.F8	-1.9661553	57.48474	OPC	5
1001000181.F1	-4.15164	60.10015	OPC	5
1001000181.F12	35.092094	-38.193787	Astrocyte	1
1001000181.E3	38.86457	-32.932873	Astrocyte	1
1001000181.A10	-7.4271584	71.74231	OPC	5
1001000181.D2	36.733086	-36.76347	Astrocyte	1
1001000181.E11	-2.239536	65.486984	OPC	5
1001000181.C8	-8.837419	64.02521	OPC	5
1001000181.F10	46.646435	-4.8634725	9	8
1001000181.B7	-5.1592383	50.242382	OPC	5
1001000181.G7	1.3843104	-39.599636	Microglia	3
1001000181.F3	-7.2228794	49.87387	OPC	5
1001000181.F4	-6.618071	54.665863	OPC	5
1001000181.E5	-10.311136	53.503704	OPC	5
1001000181.E10	1.4175043	-52.665733	Microglia	3
1001000181.C11	53.29902	-6.301893	9	8
1001000181.C6	53.75392	-5.9586906	9	8
1001000181.A4	-11.961322	46.691547	OPC	5
1001000181.D7	-2.0573657	63.513412	OPC	5
1001000181.B2	-7.2914944	54.19843	OPC	5
1001000181.B9	-7.548474	43.390236	OPC	5
1001000181.C4	35.043667	-34.227486	Astrocyte	1
1001000181.F6	35.956463	-36.855515	Astrocyte	1
1001000181.A11	-11.971043	-47.62082	Microglia	3
1001000181.E12	54.367367	-5.724795	9	8
1001000181.A6	-13.29712	49.518463	OPC	5
1001000181.G6	41.53081	-3.6498194	9	8
1001000181.B4	41.42336	-3.5687132	9	8
1001000181.D4	-2.4440744	-36.487865	Microglia	3
1001000181.B12	-8.941069	55.056572	OPC	5
1001000181.G8	51.880802	-6.783444	9	8
1001000181.F11	-10.558459	63.375477	OPC	5
1001000181.B6	-11.303447	48.919144	OPC	5
1001000181.D3	-4.279419	63.88311	OPC	5
1001000181.A7	-5.753568	47.367897	OPC	5
1001000181.F2	52.202793	-6.3224735	9	8
1001000181.F9	2.8297427	-43.033066	Microglia	3
1001000181.B10	5.6213775	-55.521572	Microglia	3
1001000181.C10	-2.2577295	74.12474	OPC	5
1001000181.D1	34.65235	-35.768574	Astrocyte	1
1001000181.E4	6.800115	67.8048	OPC	5
1001000181.A9	-4.380564	62.721664	OPC	5
1001000181.A2	-9.775232	56.644405	OPC	5
1001000181.D11	-0.022589896	62.58594	OPC	5
1001000181.C7	52.556873	-6.089312	9	8
1001000181.D9	28.933128	-70.64979	Oligodendrocyte	6
1001000182.A3	65.16116	18.75403	9	8
1001000182.F4	56.08191	-9.623523	9	8
1001000182.A10	56.80726	15.887015	9	8
1001000182.G4	69.87201	11.944814	9	8
1001000182.E6	63.804253	-2.7325597	9	8
1001000182.C3	73.97008	-1.8596175	9	8
1001000182.D1	55.32064	-8.256026	9	8
1001000182.G10	48.950493	-13.245396	9	8
1001000182.C12	64.550095	-9.723961	9	8
1001000182.D10	49.558422	-6.996459	9	8
1001000182.A5	70.86143	-0.6345733	9	8
1001000182.E8	66.87295	11.307629	9	8
1001000182.B4	64.37295	19.074318	9	8
1001000182.F6	70.48475	13.883298	9	8
1001000182.B12	48.139236	-11.051797	9	8
1001000182.C10	33.764732	20.61439	9	8
1001000182.D9	75.432236	0.662593	9	8
1001000182.A7	77.9055	6.2834325	9	8
1001000182.D11	63.56746	-6.712433	9	8
1001000182.G8	80.872894	-4.5781856	9	8
1001000182.D7	41.854824	4.251784	9	8
1001000182.F12	71.47938	13.055254	9	8
1001000182.G1	79.25348	0.041463394	9	8
1001000182.H2	51.544037	-8.811764	9	8
1001000182.B10	60.022373	2.8029792	9	8
1001000182.H3	57.768257	17.713978	9	8
1001000182.E2	67.16621	0.28919515	9	8
1001000182.A9	63.30158	-2.127293	9	8
1001000182.B1	68.49119	1.4375871	9	8
1001000182.B8	64.41205	12.24594	9	8
1001000182.C8	55.695156	14.540764	9	8
1001000182.G12	56.615643	-15.120856	9	8
1001000182.F1	75.51047	-3.4043825	9	8
1001000182.E4	51.228054	-14.427868	9	8
1001000182.A11	53.980896	-11.076184	9	8
1001000182.E5	56.272003	4.7432146	9	8
1001000182.B3	69.3506	16.852474	9	8
1001000182.F3	77.39328	13.975653	9	8
1001000182.B11	59.301815	13.060399	9	8
1001000182.G5	54.514233	12.098127	9	8
1001000182.C9	64.54082	7.4108295	9	8
1001000182.D2	63.51197	9.651162	9	8
1001000182.F2	76.675255	-1.0067177	9	8
1001000182.G3	66.56537	16.20888	9	8
1001000182.A2	59.080036	-13.592744	9	8
1001000182.C4	62.83184	-3.7031672	9	8
1001000182.E7	48.112617	-8.530559	9	8
1001000182.F5	67.60819	5.9615426	9	8
1001000182.B5	63.88979	8.868273	9	8
1001000182.F10	52.056885	-8.780222	9	8
1001000182.C11	67.768684	7.9115043	9	8
1001000182.H9	48.610256	-13.044287	9	8
1001000182.A4	17.167637	66.83133	OPC	5
1001000182.D8	70.302124	14.401797	9	8
1001000182.G2	49.94597	-9.791597	9	8
1001000182.F11	72.89094	-5.075862	9	8
1001000182.E10	75.75065	14.181907	9	8
1001000182.D12	26.594576	-74.25725	Oligodendrocyte	6
1001000182.H1	63.095276	9.726302	9	8
1001000182.C5	69.46844	-1.8169949	9	8
1001000182.H4	52.686592	-10.946742	9	8
1001000182.E1	76.770004	2.9488373	9	8
1001000182.E9	63.55436	-4.2708383	9	8
1001000182.B6	50.608513	-5.631414	9	8
1001000182.A6	62.3024	13.078685	9	8
1001000182.G11	51.719093	-13.47067	9	8
1001000182.H11	49.375748	-3.6862814	9	8
1001000182.C7	63.016136	-2.043569	9	8
1001000182.G7	48.61069	-10.035695	9	8
1001000182.E12	49.863346	-5.084536	9	8
1001000182.D3	67.29548	10.707256	9	8
1001000182.H6	-5.7889338	61.728897	OPC	5
1001000182.C1	25.033016	24.787102	8	9
1001000182.G6	64.07302	-1.3793582	9	8
1001000182.A8	63.932285	14.33018	9	8
1001000183.A3	59.726173	6.57196	9	8
1001000183.C6	64.00886	-2.132435	9	8
1001000183.F4	63.64385	16.928528	9	8
1001000183.B8	76.07442	12.553828	9	8
1001000183.A9	68.35406	0.32224134	9	8
1001000183.G10	59.00431	-7.725394	9	8
1001000183.F6	72.30075	9.099408	9	8
1001000183.D4	59.580082	-0.7149633	9	8
1001000183.F11	57.054726	20.357225	9	8
1001000183.G11	55.09664	-16.867977	9	8
1001000183.G2	4.0193624	65.366554	OPC	5
1001000183.E8	80.57753	0.5493597	9	8
1001000183.C11	60.076843	-14.819923	9	8
1001000183.H11	48.459507	-10.430284	9	8
1001000183.A7	65.065475	18.283457	9	8
1001000183.B12	72.68579	7.105113	9	8
1001000183.C8	64.12871	17.041496	9	8
1001000183.B4	67.57971	2.1467555	9	8
1001000183.B9	70.91325	12.244578	9	8
1001000183.H9	69.98109	-3.879892	9	8
1001000183.H2	74.98386	6.3318624	9	8
1001000183.H4	61.834442	8.533393	9	8
1001000183.G8	69.532875	-1.814572	9	8
1001000183.D8	64.669945	0.78673196	9	8
1001000183.A5	56.835056	-18.048891	9	8
1001000183.E6	63.614815	-7.633986	9	8
1001000183.G1	41.769886	3.2689908	9	8
1001000183.B6	55.273838	-7.9675436	9	8
1001000183.E12	51.440193	-12.794941	9	8
1001000183.E4	66.81017	16.977184	9	8
1001000183.C2	81.722374	1.3136038	9	8
1001000183.C4	42.22294	2.8939054	9	8
1001000183.D11	73.90309	11.649637	9	8
1001000183.C9	67.43986	0.6730503	9	8
1001000183.B11	60.838535	18.883947	9	8
1001000183.D2	66.12272	1.9273858	9	8
1001000183.A12	79.199005	-5.726912	9	8
1001000183.A8	47.780827	21.838161	9	8
1001000183.A10	57.64514	17.538723	9	8
1001000183.H10	63.600273	16.732838	9	8
1001000183.F10	45.779095	0.718139	9	8
1001000183.F5	68.47655	16.48154	9	8
1001000183.D3	56.545467	5.0343857	9	8
1001000183.C5	69.25156	6.8437133	9	8
1001000183.E9	44.898735	4.4342475	9	8
1001000183.H7	57.113106	17.00935	9	8
1001000183.B7	42.069572	-1.919556	9	8
1001000183.D10	48.008453	-10.253479	9	8
1001000183.A1	81.83388	0.023037236	9	8
1001000183.C12	27.031748	21.50633	8	9
1001000183.F3	52.085888	-12.847542	9	8
1001000183.F12	61.108826	-12.57688	9	8
1001000183.D9	49.955418	-5.8982744	9	8
1001000183.D7	56.043888	-8.183792	9	8
1001000183.C7	75.43534	-5.552121	9	8
1001000183.H5	40.95929	4.2971745	9	8
1001000183.E10	69.57588	10.600247	9	8
1001000183.E7	80.6591	-1.0797279	9	8
1001000183.B2	53.898586	19.580572	8	9
1001000183.G7	68.22589	-7.9346623	9	8
1001000183.F2	27.696518	21.540741	8	9
1001000183.E11	55.940582	-13.00443	9	8
1001000183.A4	63.978134	-4.190262	9	8
1001000183.C10	54.19887	-15.231071	9	8
1001000183.E5	71.50954	-0.3737388	9	8
1001000183.B3	58.360508	4.015005	9	8
1001000183.H1	64.799614	17.10167	9	8
1001000183.D1	67.8924	-3.6703575	9	8
1001000183.B10	52.869545	-7.6526012	9	8
1001000183.F7	62.186382	-9.614931	9	8
1001000183.D6	55.856533	17.629501	9	8
1001000183.B5	53.876446	-17.128244	Astrocyte	1
1001000183.A2	55.995026	-12.917807	9	8
1001000183.E2	74.07225	-1.8329533	9	8
1001000183.G5	56.824368	16.69168	9	8
1001000183.A11	56.85271	20.696657	8	9
1001000183.D12	69.25082	10.203309	9	8
1001000183.C3	69.94239	4.811244	9	8
1001000184.A1	78.34528	-5.6809473	9	8
1001000184.B8	76.4731	2.290981	9	8
1001000184.A11	65.13145	-9.086368	9	8
1001000184.B2	70.69663	8.114626	9	8
1001000184.B9	77.486946	0.5333706	9	8
1001000184.B3	64.24835	19.738535	9	8
1001000184.C1	78.08874	4.026338	9	8
1001000184.A6	79.904144	-5.9518957	9	8
1001000184.B6	6.8579173	67.715515	OPC	5
1001000184.A4	79.720345	-6.6453476	9	8
1001000184.A8	68.41361	10.575966	9	8
1001000184.B10	58.46328	1.1580967	9	8
1001000184.A10	32.727505	20.018787	8	9
1001000184.B7	62.68639	7.3866735	9	8
1001000184.A9	76.86576	3.7105296	9	8
1001000184.B11	40.22373	6.841455	9	8
1001000184.A5	72.731895	-3.22696	9	8
1001000184.B4	3.031705	66.22599	OPC	5
1001000184.A7	63.22787	-1.7830056	9	8
1001000184.B5	66.466866	15.776597	9	8
1001000184.A2	75.21901	5.6535473	9	8
1001000184.A3	68.03711	-8.69033	9	8
1001000184.D9	67.812195	7.2351127	9	8
1001000184.G11	77.067024	1.8812536	9	8
1001000184.F6	75.63084	1.0268271	9	8
1001000184.C11	79.41304	-5.9420276	9	8
1001000184.D7	80.6783	-5.6488695	9	8
1001000184.G5	81.042786	-4.468099	9	8
1001000184.C5	58.1332	2.5459063	9	8
1001000184.H4	65.836205	6.726308	9	8
1001000184.E2	62.013535	-1.124986	9	8
1001000184.F10	73.497086	-6.3379135	9	8
1001000184.E3	21.144464	64.16869	OPC	5
1001000184.D5	65.46069	-8.768193	9	8
1001000184.C3	73.595894	-1.4159971	9	8
1001000184.H10	68.37	-7.209329	9	8
1001000184.H5	-36.101337	19.025444	7	7
1001000184.E8	11.4814205	70.03106	OPC	5
1001000184.D10	58.52231	3.6545944	9	8
1001000184.F3	75.48119	7.6468925	9	8
1001000184.E5	61.320927	-2.148549	9	8
1001000184.H8	74.667145	3.2046988	9	8
1001000184.F12	59.702545	-0.35568374	9	8
1001000184.D3	80.04125	-5.8510103	9	8
1001000184.F1	68.627945	10.546009	9	8
1001000184.F9	76.185585	-1.9962249	9	8
1001000184.H9	74.65285	-6.0286264	9	8
1001000184.H2	6.5968876	70.014046	OPC	5
1001000184.D1	66.728584	-7.6917095	9	8
1001000184.C10	57.83627	17.825584	9	8
1001000184.G4	67.06343	-7.479872	9	8
1001000184.H1	65.46376	-8.9753275	9	8
1001000184.C6	59.39554	2.4720364	9	8
1001000184.F7	62.90617	-2.9318635	9	8
1001000184.G12	62.15513	8.104469	9	8
1001000184.G7	9.921056	70.10636	OPC	5
1001000184.E12	69.94566	-7.9570794	9	8
1001000184.D6	69.68182	18.553667	9	8
1001000184.D12	69.06713	9.137704	9	8
1001000184.H11	78.576584	-0.85044193	9	8
1001000184.H3	58.58997	3.0363116	9	8
1001000184.F11	7.3048377	70.04098	OPC	5
1001000184.H6	69.32032	5.697315	9	8
1001000184.G6	75.66297	-3.909401	9	8
1001000184.F5	63.874763	7.1192913	9	8
1001000184.E1	72.70039	7.244836	9	8
1001000184.E10	75.37839	-6.232148	9	8
1001000184.G9	62.5582	-2.569907	9	8
1001000184.C8	17.2709	66.30932	OPC	5
1001000184.C2	77.19929	13.975951	9	8
1001000184.D4	70.78954	-4.0835037	9	8
1001000184.E11	71.281	-5.149262	9	8
1001000184.F2	71.08615	-4.434191	9	8
1001000184.C7	75.708595	6.8100343	9	8
1001000184.E4	33.88169	19.239168	8	9
1001000184.H7	78.475334	3.6445374	9	8
1001000184.F8	17.113262	66.82931	OPC	5
1001000184.G2	72.73481	5.2542152	9	8
1001000184.D2	79.950455	3.1470854	9	8
1001000184.C12	71.386536	-0.09023821	9	8
1001000184.E6	64.95451	6.1013885	9	8
1001000184.D11	73.788414	-3.974323	9	8
1001000184.D8	7.5138645	65.36054	OPC	5
1001000184.E9	57.67884	-7.852169	9	8
1001000184.G3	75.20061	-1.3811399	9	8
1001000185.F9	12.961846	71.12174	OPC	5
1001000185.C9	72.90183	3.5172489	9	8
1001000185.G6	76.55492	-2.2230651	9	8
1001000185.G11	77.361206	3.162512	9	8
1001000185.C7	60.513866	1.9010235	9	8
1001000185.A5	53.36927	-6.6846776	9	8
1001000185.D10	63.0725	-1.4211158	9	8
1001000185.D5	68.97058	-8.878072	9	8
1001000185.A11	9.418609	71.139496	OPC	5
1001000185.A7	81.12055	-4.1495676	9	8
1001000185.B12	62.559883	-8.866302	9	8
1001000185.E5	77.32229	6.284483	9	8
1001000185.F12	75.04774	5.726177	9	8
1001000185.D3	72.8815	-4.077045	9	8
1001000185.B9	64.52929	0.45812052	9	8
1001000185.E11	26.843357	21.153433	8	9
1001000185.H5	49.94543	-4.4078193	9	8
1001000185.F4	40.53975	1.705341	9	8
1001000185.H8	26.261862	25.32078	8	9
1001000185.C5	68.838615	5.307887	9	8
1001000185.D2	45.193924	-5.224857	9	8
1001000185.G2	69.78188	-6.56944	9	8
1001000185.B7	65.84037	0.10131003	9	8
1001000185.A1	64.03008	-6.1795864	9	8
1001000185.E3	73.872246	-0.6017784	9	8
1001000185.F10	28.385275	21.489244	8	9
1001000185.B5	68.745186	1.2838037	9	8
1001000185.E8	59.334003	3.0211873	9	8
1001000185.G8	78.87457	4.3596654	9	8
1001000185.A3	79.29009	3.3744323	9	8
1001000185.F6	59.569992	13.302957	9	8
1001000185.C3	7.5238705	71.63553	OPC	5
1001000185.D9	81.55445	-3.4823437	9	8
1001000185.G5	59.3282	2.9281337	9	8
1001000185.A8	32.240524	21.509851	8	9
1001000185.D7	70.27291	-2.6147041	9	8
1001000185.E1	36.37833	18.944942	9	8
1001000185.E6	76.59581	13.482228	9	8
1001000185.B8	59.69507	17.16217	9	8
1001000185.D11	63.859814	18.715689	9	8
1001000185.C8	10.678029	68.34183	OPC	5
1001000185.A4	69.093735	-8.018805	9	8
1001000185.G7	62.1728	13.10241	9	8
1001000185.F8	32.817406	20.750574	8	9
1001000185.C1	63.87802	7.086728	9	8
1001000185.H11	54.894802	19.20569	9	8
1001000185.D6	40.221844	6.894093	9	8
1001000185.H2	11.946676	68.395424	OPC	5
1001000185.G12	80.47277	0.31939036	9	8
1001000185.A12	68.35504	-9.9534025	9	8
1001000185.E10	60.029476	4.3242183	9	8
1001000185.H1	68.2458	-2.5763512	9	8
1001000185.B6	72.35319	0.23063001	9	8
1001000185.E4	74.24715	-2.54549	9	8
1001000185.F11	76.51883	15.366237	9	8
1001000185.B1	65.1483	6.1221795	9	8
1001000185.A6	10.766667	68.610016	OPC	5
1001000185.F1	76.458885	-2.4676816	9	8
1001000185.G1	-0.8672508	46.40004	OPC	5
1001000185.F3	75.32591	0.7683928	9	8
1001000185.B11	66.52924	-9.061919	9	8
1001000185.C4	78.510635	-0.89120007	9	8
1001000185.A9	74.050476	1.6129084	9	8
1001000185.E2	73.76486	-6.391532	9	8
1001000185.B4	76.31971	5.491843	9	8
1001000185.D1	33.343945	20.692013	8	9
1001000185.H9	7.428908	71.53128	OPC	5
1001000185.E9	67.16478	-9.123456	9	8
1001000185.F5	29.122482	14.82944	8	9
1001000185.C6	81.26562	0.96242625	9	8
1001000185.G4	-0.18927628	35.859245	OPC	5
1001000185.G3	73.21187	1.254511	9	8
1001000185.C2	62.5467	11.47634	9	8
1001000185.A2	67.39634	13.950446	9	8
1001000185.B2	26.919348	20.846407	8	9
1001000185.H7	67.74747	-8.780414	9	8
1001000185.E7	70.11328	-6.5954556	9	8
1001000185.D12	78.10936	4.453154	9	8
1001000185.H4	63.46646	-7.4695673	9	8
1001000185.F7	66.15443	-7.6922574	9	8
1001000186.D2	18.281696	41.717262	Neuron	4
1001000186.E12	6.548163	46.014435	OPC	5
1001000186.B6	2.599965	58.242767	OPC	5
1001000186.E4	-3.7925353	64.53386	OPC	5
1001000186.B10	-8.592892	53.861103	OPC	5
1001000186.B4	39.07318	-34.17202	Astrocyte	1
1001000186.C8	-5.872885	64.24102	OPC	5
1001000186.F6	5.2375693	57.64596	OPC	5
1001000186.A2	-3.1854663	53.25755	OPC	5
1001000186.E10	-0.70206857	44.729107	OPC	5
1001000186.G12	-4.848443	65.0147	OPC	5
1001000186.H4	-8.79351	63.038013	OPC	5
1001000186.E1	-3.326042	69.15196	OPC	5
1001000186.G4	3.3612854	-46.770206	Microglia	3
1001000186.D8	3.6309896	70.48449	OPC	5
1001000186.H7	-2.9476428	70.1742	OPC	5
1001000186.G1	-4.7356987	53.46611	OPC	5
1001000186.D6	2.2793922	51.23409	OPC	5
1001000186.E7	18.420834	41.349247	Neuron	4
1001000186.C4	-8.631266	52.929535	OPC	5
1001000186.F7	3.062082	71.006325	OPC	5
1001000186.H3	-2.2939258	60.371	OPC	5
1001000186.F1	17.2037	42.092434	Neuron	4
1001000186.E11	19.56497	40.859005	Neuron	4
1001000186.D4	27.071505	-73.796486	Oligodendrocyte	6
1001000186.B7	-4.3394074	50.57618	OPC	5
1001000186.D12	-0.10859295	70.61684	OPC	5
1001000186.C1	-0.7957638	53.79638	OPC	5
1001000186.H5	-1.32722	62.4895	OPC	5
1001000186.A9	-7.3858013	-38.072174	Microglia	3
1001000186.F9	1.0876498	-52.582256	Microglia	3
1001000186.F11	-6.438874	-58.59409	Microglia	3
1001000186.E6	-10.337902	57.10749	OPC	5
1001000186.C7	-2.1104307	65.68057	OPC	5
1001000186.F5	19.29855	41.586617	Neuron	4
1001000186.C10	4.458432	57.839	OPC	5
1001000186.C6	-3.6622405	58.60787	OPC	5
1001000186.H2	-7.095613	55.26599	OPC	5
1001000186.D9	7.7863984	-53.170586	Microglia	3
1001000186.D1	0.71952146	-36.894836	Microglia	3
1001000186.G9	-6.8643055	42.45491	OPC	5
1001000186.A6	-0.90818316	56.079422	OPC	5
1001000186.B2	-7.36178	53.460323	OPC	5
1001000186.A10	-0.8752391	55.955997	OPC	5
1001000186.E9	33.758568	-31.3156	Astrocyte	1
1001000186.D7	-25.226309	-53.024284	Microglia	3
1001000186.G10	-11.558648	60.47537	OPC	5
1001000186.H6	38.48268	-35.53436	Astrocyte	1
1001000186.D11	-12.698074	46.097027	OPC	5
1001000186.C12	-0.054746415	72.8393	OPC	5
1001000186.D5	20.611143	40.218723	Neuron	4
1001000186.G8	6.3115735	57.725677	OPC	5
1001000186.A12	-1.1334914	50.128025	OPC	5
1001000186.E8	5.5111785	66.0352	OPC	5
1001000186.H9	-7.4171457	56.227497	OPC	5
1001000186.E5	-4.1537027	41.3386	OPC	5
1001000186.B11	0.6611962	61.687603	OPC	5
1001000186.G5	1.6582038	64.09666	OPC	5
1001000186.F10	-4.406751	38.666073	OPC	5
1001000186.C9	-10.033526	-54.72498	Microglia	3
1001000186.D3	18.871103	41.527645	Neuron	4
1001000187.F1	-2.7094731	70.18402	OPC	5
1001000187.A3	-1.0314298	66.20803	OPC	5
1001000187.A8	-2.6213958	68.284294	OPC	5
1001000187.A11	-0.25180545	66.09295	OPC	5
1001000187.H6	-6.4465904	55.644215	OPC	5
1001000187.G6	-0.47429752	-30.56666	Microglia	3
1001000187.F7	-11.786214	56.95138	OPC	5
1001000187.B9	5.5935874	73.15128	OPC	5
1001000187.D1	2.84516	-42.051704	Microglia	3
1001000187.B6	5.00859	70.904274	OPC	5
1001000187.G4	-3.055765	62.885094	OPC	5
1001000187.C8	-2.4002752	-19.72034	Microglia	3
1001000187.D11	-2.0893621	72.00278	OPC	5
1001000187.C1	-2.902252	66.57929	OPC	5
1001000187.B12	2.405189	67.673935	OPC	5
1001000187.G3	35.790016	-34.392883	Astrocyte	1
1001000187.B4	-7.406548	71.73863	OPC	5
1001000187.G2	-4.412496	59.821983	OPC	5
1001000187.G10	20.262028	40.361935	Neuron	4
1001000187.D2	36.154575	-38.632812	Astrocyte	1
1001000187.C7	17.945	41.78259	Neuron	4
1001000187.F5	6.2126136	71.93836	OPC	5
1001000187.A7	-1.3206037	66.635124	OPC	5
1001000187.F11	0.24757561	65.5423	OPC	5
1001000187.F8	-3.3612425	64.591835	OPC	5
1001000187.B2	-6.400709	62.99076	OPC	5
1001000187.D8	-3.0277004	57.695374	OPC	5
1001000187.E6	1.2083992	59.973076	OPC	5
1001000187.H8	-1.613701	68.21661	OPC	5
1001000187.E11	-6.0914345	42.688335	OPC	5
1001000187.C2	3.8981287	72.376175	OPC	5
1001000187.H1	36.26444	-39.053375	Astrocyte	1
1001000187.C5	-0.6130165	72.14983	OPC	5
1001000187.E4	17.444162	42.05016	Neuron	4
1001000187.H3	6.119077	70.031105	OPC	5
1001000187.F2	-6.072991	71.27812	OPC	5
1001000187.B7	-2.540593	71.02729	OPC	5
1001000187.A12	4.235074	61.82324	OPC	5
1001000187.A9	2.8354888	74.83817	OPC	5
1001000187.D7	7.520084	67.73941	OPC	5
1001000187.H7	-5.081706	66.07646	OPC	5
1001000187.B11	-5.636542	70.6127	OPC	5
1001000187.F6	19.450996	40.248405	Neuron	4
1001000187.G5	19.168144	40.8365	Neuron	4
1001000187.B5	1.0369111	75.608574	OPC	5
1001000187.A2	20.116953	40.47414	Neuron	4
1001000187.G9	-3.0751557	-54.464924	Microglia	3
1001000187.H5	-1.1830372	67.67851	OPC	5
1001000187.C6	17.652132	41.88163	Neuron	4
1001000187.E9	24.621254	20.952833	8	9
1001000187.E2	3.1526546	70.06263	OPC	5
1001000187.D12	-7.14144	45.565113	OPC	5
1001000187.G12	6.185754	71.74699	OPC	5
1001000187.E3	38.44678	-35.96592	Astrocyte	1
1001000187.F4	39.899296	-35.220238	Astrocyte	1
